,sample,annotation
2447,авокодо,"[(0, 7, 'B-TYPE')]"
11374,лапша залить кипяток,"[(0, 5, 'B-TYPE'), (6, 12, 'O'), (13, 21, 'O')]"
1498,milagros кар амел,"[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]"
16703,плавк,"[(0, 5, 'B-TYPE')]"
10902,крылыя,"[(0, 6, 'B-TYPE')]"
25610,чашка reme,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
14462,нож laim,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND')]"
2733,апкльсины,"[(0, 9, 'B-TYPE')]"
24409,фвсоль,"[(0, 6, 'B-TYPE')]"
4851,випечка,"[(0, 7, 'B-TYPE')]"
16039,перекрёсток попкор,"[(0, 11, 'B-BRAND'), (12, 18, 'B-TYPE')]"
22559,сырн,"[(0, 4, 'B-TYPE')]"
16426,печнь,"[(0, 5, 'B-TYPE')]"
5042,вода проч,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
26862,юс алат,"[(0, 6, 'B-TYPE')]"
7922,йогур,"[(0, 5, 'B-TYPE')]"
2485,адыгейский сыр,"[(0, 10, 'B-TYPE'), (11, 14, 'I-TYPE')]"
26622,эенеретик,"[(0, 9, 'B-TYPE')]"
3328,безлакттзное,"[(0, 12, 'B-TYPE')]"
6346,да,"[(0, 3, 'O')]"
21574,средство для кухня,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]"
3519,бисокс бюстгальтер,"[(0, 6, 'B-BRAND'), (7, 18, 'B-TYPE')]"
829,flavorite,"[(0, 9, 'B-BRAND')]"
3988,булочеи,"[(0, 7, 'B-TYPE')]"
16516,пинцет,"[(0, 6, 'B-TYPE')]"
25270,хололец,"[(0, 7, 'B-TYPE')]"
4653,вермут эк ст,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
24974,хлеб для хот,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]"
12086,макар оные,"[(0, 9, 'B-TYPE')]"
4490,васа,"[(0, 4, 'B-TYPE')]"
23582,томатый,"[(0, 7, 'B-TYPE')]"
19272,салфеткп,"[(0, 8, 'B-TYPE')]"
20322,сладсти,"[(0, 7, 'B-TYPE')]"
24531,фильтрх,"[(0, 7, 'B-TYPE')]"
7536,зубны,"[(0, 5, 'B-TYPE')]"
21578,средство за щи,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
21316,соус для креветка,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 17, 'O')]"
24334,факелман крышка,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]"
22799,сэндвия,"[(0, 7, 'B-TYPE')]"
13170,молокн,"[(0, 6, 'B-TYPE')]"
6027,греческий,"[(0, 9, 'B-TYPE')]"
8672,ка сулы,"[(0, 6, 'B-TYPE')]"
5045,вода пять литр,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 16, 'I-VOLUME')]"
7801,индкейка,"[(0, 8, 'B-TYPE')]"
27043,яйиц,"[(0, 4, 'B-TYPE')]"
25208,хлопьяг,"[(0, 7, 'B-TYPE')]"
7174,закуска из свёкла,"[(0, 7, 'B-TYPE'), (8, 10, 'O'), (11, 17, 'O')]"
21466,специя для мя,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 13, 'O')]"
3429,белый хлеб щёлковский,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE'), (11, 21, 'B-BRAND')]"
9115,клубника замороженная,"[(0, 8, 'B-TYPE'), (9, 21, 'I-TYPE')]"
9946,корзиночка,"[(0, 10, 'B-TYPE')]"
16188,перць,"[(0, 5, 'B-TYPE')]"
23922,тряпка в рулон,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 15, 'O')]"
9192,когфету,"[(0, 7, 'B-TYPE')]"
11687,ломиик,"[(0, 6, 'B-TYPE')]"
25650,чебурек,"[(0, 9, 'B-TYPE')]"
26475,шпрот вы,"[(0, 7, 'B-TYPE')]"
20762,снежюок,"[(0, 7, 'B-TYPE')]"
22678,сыр окоп,"[(0, 7, 'B-TYPE')]"
7998,йогурт пить евы,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
5764,горохов,"[(0, 8, 'B-TYPE')]"
14968,одноразовый,"[(0, 11, 'B-TYPE')]"
24110,тыоробушки,"[(0, 10, 'B-TYPE')]"
12659,мац он,"[(0, 5, 'B-TYPE')]"
24048,тушенеп,"[(0, 7, 'B-TYPE')]"
22666,сырок,"[(0, 6, 'B-TYPE')]"
12368,мармелад,"[(0, 9, 'B-TYPE')]"
23864,трубояка,"[(0, 8, 'B-TYPE')]"
25156,хлееб,"[(0, 5, 'B-TYPE')]"
6292,губка primani,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]"
353,bud,"[(0, 3, 'B-BRAND')]"
13530,мороженое в стаканчика,"[(0, 9, 'B-TYPE'), (10, 11, 'O'), (12, 22, 'O')]"
12950,мини кекс,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]"
25484,чай beta tea,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 12, 'I-BRAND')]"
16148,перлов кан,"[(0, 9, 'B-TYPE')]"
16092,перец ай ти,"[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]"
11004,кукур узка,"[(0, 9, 'B-TYPE')]"
18177,пюре сад пр идо,"[(0, 4, 'B-TYPE'), (5, 9, 'B-BRAND'), (10, 15, 'I-BRAND')]"
18879,рф сервис бумага,"[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]"
4275,ваентка,"[(0, 7, 'B-TYPE')]"
9971,корица kami,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
12574,масло сливочный,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
5359,галантерейный аксессуар,"[(0, 13, 'B-TYPE'), (14, 24, 'I-TYPE')]"
8517,картоф,"[(0, 6, 'B-TYPE')]"
13904,мылом,"[(0, 5, 'B-TYPE')]"
3571,блинны,"[(0, 6, 'B-TYPE')]"
14725,овощной пю,"[(0, 7, 'B-TYPE'), (8, 10, 'I-TYPE')]"
22057,сухарь панировочн,"[(0, 6, 'B-TYPE'), (7, 17, 'I-TYPE')]"
10545,кревретки,"[(0, 9, 'B-TYPE')]"
22439,сыр сир таки,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]"
25357,цветной капуста,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
11840,люля,"[(0, 4, 'B-TYPE')]"
15938,пельмениж,"[(0, 9, 'B-TYPE')]"
14091,набор конфета,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
23877,трусик мери,"[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]"
10876,крушовица,"[(0, 9, 'B-TYPE')]"
25969,чицо,"[(0, 4, 'B-TYPE')]"
20241,скребок braube,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
13363,море ось,"[(0, 7, 'B-TYPE')]"
12678,мвло для дама,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 12, 'O')]"
8628,карттфель,"[(0, 9, 'B-TYPE')]"
16763,пластинка,"[(0, 9, 'B-TYPE')]"
21506,спички феникс,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
7,abtoys игрушка,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE')]"
5331,газировканная,"[(0, 13, 'B-TYPE')]"
1255,ladograd зель,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
22965,тартин,"[(0, 7, 'B-BRAND')]"
3958,булка для хот дог,"[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]"
23397,теунец,"[(0, 6, 'B-TYPE')]"
2090,spelenok морс,"[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]"
290,boge,"[(0, 4, 'O')]"
9212,козинака,"[(0, 8, 'B-TYPE')]"
15410,охотничьм,"[(0, 9, 'B-TYPE')]"
12362,мармелад фруктовый ягодн,"[(0, 8, 'B-TYPE'), (9, 23, 'I-TYPE')]"
16810,пломбир золотой стандарт,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 24, 'I-BRAND')]"
22790,сэндвич ролл,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
24718,фрутаняню,"[(0, 9, 'B-TYPE')]"
4235,бэрэкэтле айра,"[(0, 9, 'B-BRAND'), (10, 14, 'B-TYPE')]"
20686,смете ана,"[(0, 8, 'B-TYPE')]"
21105,солфетеи,"[(0, 8, 'B-TYPE')]"
16472,пиво navigat,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]"
11020,кукурузнык,"[(0, 10, 'B-TYPE')]"
21441,спаржа тен де,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
19110,салат ай,"[(0, 5, 'B-TYPE'), (6, 8, 'I-TYPE')]"
8028,йошта,"[(0, 5, 'B-TYPE')]"
20640,сметан аф,"[(0, 8, 'B-TYPE')]"
15303,острый,"[(0, 6, 'B-TYPE')]"
23298,тендер спарж,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]"
5923,гранатовый сок,"[(0, 10, 'B-TYPE'), (11, 14, 'I-TYPE')]"
18789,рублевский зельц,"[(0, 10, 'B-BRAND'), (11, 16, 'B-TYPE')]"
18355,рас тишки,"[(0, 8, 'B-TYPE')]"
20841,соев,"[(0, 4, 'B-TYPE')]"
19920,семг,"[(0, 4, 'B-TYPE')]"
20346,сливеки,"[(0, 7, 'B-TYPE')]"
22560,сырный,"[(0, 5, 'B-TYPE')]"
14540,нуги kon,"[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND')]"
13423,морково,"[(0, 7, 'B-TYPE')]"
15530,палочка premial,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
25145,хлебец щедрый,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
16506,пила ди сковы,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
14329,натур альн,"[(0, 9, 'B-TYPE')]"
25500,чай в п,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 7, 'O')]"
21790,стиральный,"[(0, 9, 'B-TYPE')]"
6550,диффузор bolsiu,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
6025,гречески 1 й,"[(0, 10, 'B-TYPE')]"
14697,овощечистка,"[(0, 11, 'B-TYPE')]"
26108,шампуеь,"[(0, 7, 'B-TYPE')]"
15337,отвертак,"[(0, 8, 'B-TYPE')]"
16962,подсвечник int,"[(0, 12, 'B-TYPE'), (13, 16, 'B-BRAND')]"
4031,булочка доя бургер,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]"
2375,zyx конструкто,"[(0, 3, 'B-BRAND'), (4, 14, 'B-TYPE')]"
22875,таматная паста,"[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]"
25918,чипсы острый,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
3884,бснаны,"[(0, 6, 'B-TYPE')]"
18824,рулет,"[(0, 5, 'B-TYPE')]"
6435,депиляц,"[(0, 7, 'B-TYPE')]"
23461,тнеска,"[(0, 6, 'B-TYPE')]"
26797,эннргия,"[(0, 7, 'B-TYPE')]"
14654,облепиховый,"[(0, 11, 'B-TYPE')]"
17855,прочие мясо овощные,"[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]"
10821,кружка факелма,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
123,artfruit вино гр,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]"
1405,mak,"[(0, 3, 'B-BRAND')]"
7703,икр им,"[(0, 5, 'B-TYPE')]"
14518,носокв,"[(0, 6, 'B-TYPE')]"
11180,курлассаны,"[(0, 10, 'B-TYPE')]"
12170,мал со,"[(0, 5, 'B-TYPE')]"
9999,корм влажный соус,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 17, 'I-TYPE')]"
19553,свёкла,"[(0, 6, 'B-TYPE')]"
21079,солом аа,"[(0, 7, 'B-TYPE')]"
24510,фи леею,"[(0, 6, 'B-TYPE')]"
21159,сом производство,"[(0, 3, 'B-TYPE'), (4, 16, 'B-BRAND')]"
16413,печеньяе,"[(0, 8, 'B-TYPE')]"
1768,pedigree,"[(0, 8, 'B-BRAND')]"
27133,яйцо прочее,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
9043,ките кет в соус,"[(0, 7, 'B-BRAND'), (8, 9, 'O'), (10, 15, 'O')]"
20293,слав мо,"[(0, 6, 'B-BRAND')]"
1243,labner,"[(0, 6, 'B-BRAND')]"
13685,мыть средство для ванная,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 19, 'O'), (20, 26, 'O')]"
24283,уняжелители,"[(0, 11, 'B-TYPE')]"
20732,смущи,"[(0, 5, 'B-TYPE')]"
6770,дым сыровяленые,"[(0, 5, 'B-BRAND'), (6, 17, 'B-TYPE')]"
12567,масло сливочный вкуснотеево,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE'), (16, 27, 'B-BRAND')]"
16570,пирожный,"[(0, 7, 'B-TYPE')]"
900,garnier лось,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]"
4410,варен ка,"[(0, 7, 'B-TYPE')]"
2255,velmont тру c,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]"
3769,бренд,"[(0, 5, 'B-TYPE')]"
2806,ароматизаторо,"[(0, 13, 'B-TYPE')]"
2681,аооматная,"[(0, 9, 'B-TYPE')]"
19881,сельдь океа,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]"
10887,крыллья,"[(0, 7, 'B-TYPE')]"
6032,греческм,"[(0, 8, 'B-TYPE')]"
21806,стиральный,"[(0, 10, 'B-TYPE')]"
15521,пало вник,"[(0, 8, 'B-TYPE')]"
3960,булка с груша,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 14, 'O')]"
3314,безлактозное,"[(0, 12, 'B-TYPE')]"
12189,манг,"[(0, 4, 'B-TYPE')]"
26318,шоколад пикник,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
18267,разрыхлитель kotan,"[(0, 12, 'B-TYPE'), (13, 18, 'B-BRAND')]"
11086,курага,"[(0, 6, 'B-TYPE')]"
22152,сухой шампунь,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
25417,циплёнок в соб ст,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]"
23005,твёрдый gillett,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]"
26798,эн оки,"[(0, 5, 'B-TYPE')]"
21803,стиральный порош,"[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]"
23661,тор ес,"[(0, 5, 'B-BRAND')]"
20847,соевый,"[(0, 6, 'B-TYPE')]"
16945,подо вор,"[(0, 7, 'B-TYPE')]"
24304,усфле,"[(0, 5, 'B-TYPE')]"
17542,приправа для солянка,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]"
14255,напиток энергетический,"[(0, 7, 'B-TYPE'), (8, 22, 'I-TYPE')]"
15060,оладьи смесь,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
21511,сплыетки,"[(0, 8, 'B-TYPE')]"
15073,олива бел лин,"[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]"
23162,творожнный,"[(0, 10, 'B-TYPE')]"
19153,салат,"[(0, 6, 'B-TYPE')]"
14412,немоолко,"[(0, 8, 'B-TYPE')]"
19852,сельдеркй,"[(0, 9, 'B-TYPE')]"
27131,яйцо проч,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
20438,слливки,"[(0, 7, 'B-TYPE')]"
25724,черноголовка,"[(0, 12, 'B-TYPE')]"
10277,кофе растворимый якобс,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE'), (17, 22, 'B-BRAND')]"
23995,ту алы,"[(0, 5, 'O')]"
4241,бюстгальтер om,"[(0, 11, 'B-TYPE'), (12, 14, 'B-BRAND')]"
27083,яйцо перепелиная,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]"
3237,баьарейки,"[(0, 9, 'B-TYPE')]"
11208,кура мор,"[(0, 4, 'B-TYPE'), (5, 8, 'I-TYPE')]"
25651,чебуреч,"[(0, 7, 'B-TYPE')]"
20926,сок детский дар,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 16, 'B-BRAND')]"
6977,желе творожный,"[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]"
19564,свет лампа,"[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]"
18926,рыбка сушёный,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
21525,сп ред ar,"[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND')]"
12129,мак фа,"[(0, 5, 'B-BRAND')]"
27080,яйцо пере,"[(0, 4, 'B-TYPE'), (5, 9, 'I-TYPE')]"
20023,сенсити,"[(0, 7, 'B-TYPE')]"
10688,криль,"[(0, 5, 'B-TYPE')]"
18865,ручкаж,"[(0, 6, 'B-TYPE')]"
23613,топ,"[(0, 3, 'B-TYPE')]"
23138,твороженный,"[(0, 11, 'B-TYPE')]"
9527,ком кующийся,"[(0, 11, 'B-TYPE')]"
1077,iberica маринов анн,"[(0, 7, 'B-BRAND'), (8, 18, 'B-TYPE')]"
19967,семечки,"[(0, 8, 'B-TYPE')]"
7964,йогурт питьевой фру ате,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE'), (16, 22, 'B-BRAND')]"
11501,лечо огороднико,"[(0, 4, 'B-TYPE'), (5, 15, 'B-BRAND')]"
5857,горчица принто,"[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]"
23141,творожены,"[(0, 9, 'B-TYPE')]"
6061,гречка,"[(0, 7, 'B-TYPE')]"
3207,батончик миндальный,"[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]"
21367,соус,"[(0, 6, 'B-TYPE')]"
17097,полу копченое колбаса,"[(0, 12, 'B-TYPE'), (13, 20, 'I-TYPE')]"
17037,полба,"[(0, 5, 'B-TYPE')]"
10864,крупскоц,"[(0, 8, 'B-TYPE')]"
12680,мвсло,"[(0, 5, 'B-TYPE')]"
2150,tees,"[(0, 4, 'B-BRAND')]"
13373,морз,"[(0, 4, 'O')]"
21157,сом производст,"[(0, 3, 'B-TYPE'), (4, 14, 'B-BRAND')]"
18920,рыба 0,"[(0, 5, 'B-TYPE')]"
3489,биокефирная,"[(0, 11, 'B-TYPE')]"
26594,ьерияки,"[(0, 7, 'B-TYPE')]"
25579,чайник электрическ,"[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]"
5887,горячий копчен,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
14337,натуральный йогурт,"[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]"
18738,роозвый,"[(0, 7, 'B-TYPE')]"
14149,наггетсв,"[(0, 8, 'B-TYPE')]"
23592,том мол,"[(0, 6, 'B-TYPE')]"
5477,гель для посуда,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O')]"
2380,гурт,"[(0, 5, 'B-TYPE')]"
10366,крабоа,"[(0, 6, 'B-TYPE')]"
18169,пюре овощной,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
26570,ы плень,"[(0, 1, 'O'), (2, 7, 'O')]"
8542,картофельгое,"[(0, 12, 'B-TYPE')]"
3529,бифидо,"[(0, 6, 'B-TYPE')]"
4420,вареннтки,"[(0, 9, 'B-TYPE')]"
604,deonica кто ни будь,"[(0, 7, 'B-BRAND'), (8, 19, 'O')]"
4149,бумажный полотенц,"[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]"
10812,круглый горо,"[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]"
9391,колбаса 1,"[(0, 8, 'B-TYPE')]"
12591,маслои,"[(0, 6, 'B-TYPE')]"
12066,макароны звёздочка,"[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]"
875,frutz,"[(0, 5, 'B-BRAND')]"
16031,перекись,"[(0, 8, 'B-TYPE')]"
26937,яблочки производство,"[(0, 7, 'B-TYPE'), (8, 19, 'B-BRAND')]"
24245,улит ели,"[(0, 7, 'O')]"
7786,индейук,"[(0, 7, 'B-TYPE')]"
2467,агуш,"[(0, 4, 'B-BRAND')]"
18641,рогалик лима,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
13554,мороженое щербет,"[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]"
9750,конфета красный шапочка,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 23, 'I-BRAND')]"
20728,смптана,"[(0, 7, 'B-TYPE')]"
3724,борский,"[(0, 7, 'B-BRAND')]"
9913,корень имбир,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
23060,творог в деревня,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]"
23883,трусикищ,"[(0, 8, 'B-TYPE')]"
27156,яйчневая,"[(0, 8, 'B-TYPE')]"
9729,конфета батончик,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]"
23618,топинамбур,"[(0, 11, 'B-TYPE')]"
1365,louman мяч,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
26042,шампанск,"[(0, 8, 'B-TYPE')]"
575,danone му,"[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]"
3204,батончик,"[(0, 8, 'B-TYPE')]"
1023,head,"[(0, 4, 'B-BRAND')]"
10030,корм для ст ери,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]"
17662,производство грейпфру,"[(0, 12, 'B-BRAND'), (13, 21, 'B-TYPE')]"
4442,варено копчёный унипр,"[(0, 15, 'B-TYPE'), (16, 21, 'B-BRAND')]"
20457,слоёный дрожжевой тесто,"[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE'), (18, 23, 'I-TYPE')]"
20121,сидр ариан,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]"
7628,из тунц,"[(0, 2, 'B-TYPE'), (3, 7, 'I-TYPE')]"
13825,муравкйник,"[(0, 10, 'B-TYPE')]"
13766,мука проча,"[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]"
7545,зубной щето,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
2065,sniskers,"[(0, 8, 'B-BRAND')]"
22850,та елки,"[(0, 6, 'B-TYPE')]"
14144,наггет,"[(0, 6, 'B-TYPE')]"
913,gez,"[(0, 3, 'O')]"
22285,сыр бела,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]"
5061,вода туалетн,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
5859,горчичный масло,"[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]"
1859,razberry,"[(0, 8, 'B-BRAND')]"
509,collonil растя жите,"[(0, 8, 'B-BRAND'), (9, 18, 'B-TYPE')]"
17790,профит рол,"[(0, 9, 'B-TYPE')]"
12556,масло сладко сливочное,"[(0, 5, 'B-TYPE'), (6, 21, 'I-TYPE')]"
23727,тор тих,"[(0, 6, 'B-TYPE')]"
17181,помидор,"[(0, 10, 'B-TYPE')]"
21583,средство для зеркало,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]"
5245,вяленные,"[(0, 8, 'B-TYPE')]"
24800,фунчозв,"[(0, 7, 'B-TYPE')]"
2814,артишокжи,"[(0, 9, 'B-TYPE')]"
12244,манкую,"[(0, 6, 'B-TYPE')]"
11012,кукурузны,"[(0, 9, 'B-TYPE')]"
12645,маффини,"[(0, 7, 'B-TYPE')]"
11251,кьлбаса,"[(0, 7, 'B-TYPE')]"
6245,гр чека,"[(0, 6, 'B-TYPE')]"
21805,стиральный порошок,"[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]"
25464,чаа,"[(0, 3, 'B-TYPE')]"
26612,эдам,"[(0, 4, 'B-TYPE')]"
12741,мелкий,"[(0, 6, 'B-TYPE')]"
2697,апельсвны,"[(0, 9, 'B-TYPE')]"
4534,вафельнвй,"[(0, 9, 'B-TYPE')]"
24827,халапеньо,"[(0, 9, 'B-BRAND')]"
21185,сорковь,"[(0, 7, 'B-TYPE')]"
18420,редис белоручк,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]"
16407,печеньь,"[(0, 7, 'B-TYPE')]"
12937,минеральс,"[(0, 9, 'B-TYPE')]"
13593,мороковь,"[(0, 8, 'B-TYPE')]"
4550,вафли классический,"[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]"
25402,цикорий пр,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]"
9072,клевер петрушка,"[(0, 6, 'B-BRAND'), (7, 15, 'B-TYPE')]"
2220,unag,"[(0, 4, 'B-BRAND')]"
15637,пан ямы,"[(0, 6, 'B-TYPE')]"
21731,стекло мой луч,"[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]"
24278,универсальный,"[(0, 13, 'B-TYPE')]"
22449,сыр сулу,"[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]"
17736,простой,"[(0, 6, 'B-TYPE')]"
5719,гоолен,"[(0, 6, 'B-TYPE')]"
902,garnier лосьон,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
7481,золушка порошк,"[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]"
9891,копчёный,"[(0, 8, 'B-TYPE')]"
27193,яр мол,"[(0, 5, 'B-TYPE')]"
513,conti,"[(0, 5, 'B-BRAND')]"
25764,чёрный чай листовой,"[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE'), (11, 19, 'O')]"
16155,персатк,"[(0, 7, 'B-TYPE')]"
2115,sunfeel олива,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]"
10404,крабовын,"[(0, 8, 'B-TYPE')]"
9328,колбаса золотой рог,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 19, 'I-BRAND')]"
3501,биолкат,"[(0, 7, 'B-TYPE')]"
27203,ясный солнышко 2,"[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 15, 'B-VOLUME')]"
5652,голдьфы,"[(0, 7, 'B-TYPE')]"
251,berlingo степ ле,"[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]"
17059,полотенце бумажный,"[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]"
11817,львиный,"[(0, 7, 'B-TYPE')]"
11734,лошосевые,"[(0, 9, 'B-TYPE')]"
8293,капуста есть,"[(0, 7, 'B-TYPE'), (8, 10, 'B-BRAND')]"
22519,сыргый,"[(0, 6, 'B-TYPE')]"
14701,овощ гри,"[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]"
10646,кренделбки,"[(0, 10, 'B-TYPE')]"
1601,nelly,"[(0, 5, 'B-BRAND')]"
12273,маргарин ёж,"[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]"
8641,карьонара,"[(0, 9, 'B-TYPE')]"
2338,york скребок,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE')]"
3157,батин чик,"[(0, 8, 'B-TYPE')]"
